Code,Region,Density
RU-BEL,Белгородская область,56.9
RU-BRY,Брянская область,35.6
RU-VLA,Владимирская область,48.6
RU-VOR,Воронежская область,44.6
RU-IVA,Ивановская область,48.7
RU-KLU,Калужская область,33.7
RU-KOS,Костромская область,10.9
RU-KRS,Курская область,37.3
RU-LIP,Липецкая область,48.2
RU-MOS,Московская область,160.9
RU-ORL,Орловская область,31.2
RU-RYA,Рязанская область,28.8
RU-SMO,Смоленская область,19.4
RU-TAM,Тамбовская область,31.0
RU-TVE,Тверская область,15.7
RU-TUL,Тульская область,59.3
RU-YAR,Ярославская область,35.2
RU-MOW,г. Москва,4727.9
RU-KR,Республика Карелия,3.5
RU-KO,Республика Коми,2.1
RU-NEN,Ненецкий автономный округ,0.2
RU-ARK,Архангельская область,2.8
RU-VLG,Вологодская область,8.3
RU-KGD,Калининградская область,63.7
RU-LEN,Ленинградская область,21.0
RU-MUR,Мурманская область,5.3
RU-NGR,Новгородская область,11.4
RU-PSK,Псковская область,11.9
RU-SPE,г. Санкт-Петербург,3657.8
RU-AD,Республика Адыгея,57.3
RU-KL,Республика Калмыкия,3.8
RU-KDA,Краснодарский край,71.6
RU-AST,Астраханская область,20.7
RU-VGG,Волгоградская область,22.8
RU-ROS,Ростовская область,42.0
RU-DA,Республика Дагестан,59.0
RU-IN,Республика Ингушетия,124.9
RU-KB,Кабардино-Балкарская Республика,68.8
RU-KC,Карачаево-Черкесская Республика,32.9
RU-SE,Республика Северная Осетия-Алания,88.1
RU-CE,Чеченская Республика,86.1
RU-STA,Ставропольский край,42.2
RU-BA,Республика Башкортостан,28.5
RU-ME,Республика Марий Эл,29.5
RU-MO,Республика Мордовия,31.1
RU-TA,Республика Татарстан,56.6
RU-UD,Удмуртская Республика,36.1
RU-CU,Чувашская Республика,67.6
RU-PER,Пермский край,16.5
RU-KIR,Кировская область,10.9
RU-NIZ,Нижегородская область,42.8
RU-ORE,Оренбургская область,16.2
RU-PNZ,Пензенская область,31.4
RU-SAM,Самарская область,59.9
RU-SAR,Саратовская область,24.7
RU-ULY,Ульяновская область,34.1
RU-KGN,Курганская область,12.3
RU-SVE,Свердловская область,22.2
RU-KHM,Ханты-Мансийский автономный округ,3.0
RU-YAN,Ямало-Ненецкий автономный округ,0.7
RU-TYU,Тюменская область,8.8
RU-CHE,Челябинская область,39.4
RU-AL,Республика Алтай,2.3
RU-BU,Республика Бурятия,2.8
RU-TY,Республика Тыва,1.8
RU-KK,Республика Хакасия,8.7
RU-ALT,Алтайский край,14.2
RU-ZAB,Забайкальский край,2.5
RU-KYA,Красноярский край,1.2
RU-IRK,Иркутская область,3.1
RU-KEM,Кемеровская область,28.6
RU-NVS,Новосибирская область,15.4
RU-OMS,Омская область,14.0
RU-TOM,Томская область,3.4
RU-SA,Республика Саха,0.3
RU-KAM,Камчатский край,0.7
RU-PRI,Приморский край,11.8
RU-KHA,Хабаровский край,1.7
RU-AMU,Амурская область,2.2
RU-MAG,Магаданская область,0.3
RU-SAK,Сахалинская область,5.6
RU-YEV,Еврейская автономная область,4.7
RU-CHU,Чукотский автономный округ,0.1